,city,state,house_size,bed,bath,price,price_range,city_encoded
7663,Miami,Florida,3137.0,5.0,4.0,749900.0,0-2M,1
7664,Miami,Florida,950.0,2.0,2.0,260000.0,0-2M,1
7665,Miami,Florida,1770.0,4.0,2.0,610000.0,0-2M,1
7666,Miami,Florida,2032.0,5.0,3.0,500000.0,0-2M,1
7667,Miami,Florida,1089.0,2.0,2.0,325000.0,0-2M,1
7668,Miami,Florida,1378.0,3.0,2.0,389500.0,0-2M,1
7669,Miami,Florida,1346.0,3.0,2.0,229900.0,0-2M,1
7670,Miami,Florida,1777.0,3.0,3.0,550000.0,0-2M,1
7671,Miami,Florida,694.0,1.0,1.0,240000.0,0-2M,1
7672,Miami,Florida,862.0,1.0,1.0,210000.0,0-2M,1
7673,Miami,Florida,3078.0,5.0,4.0,1890000.0,0-2M,1
7674,Miami,Florida,2112.0,4.0,2.0,685000.0,0-2M,1
7675,Miami,Florida,1276.0,3.0,2.0,399999.0,0-2M,1
7676,Miami,Florida,1851.0,4.0,2.0,550000.0,0-2M,1
7677,Miami,Florida,2341.0,4.0,3.0,675000.0,0-2M,1
7678,Miami,Florida,801.0,1.0,1.0,135000.0,0-2M,1
7679,Miami,Florida,1036.0,1.0,2.0,158888.0,0-2M,1
7680,Miami,Florida,3437.0,4.0,4.0,820000.0,0-2M,1
7681,Miami,Florida,1364.0,4.0,4.0,715000.0,0-2M,1
7682,Miami,Florida,956.0,2.0,2.0,209000.0,0-2M,1
7683,Miami,Florida,1428.0,2.0,2.0,230000.0,0-2M,1
7684,Miami,Florida,1406.0,2.0,3.0,359500.0,0-2M,1
7685,Miami,Florida,812.0,2.0,2.0,220000.0,0-2M,1
7686,Miami,Florida,750.0,2.0,2.0,169900.0,0-2M,1
7687,Miami,Florida,1963.0,3.0,2.0,525000.0,0-2M,1
7688,Miami,Florida,660.0,1.0,1.0,95000.0,0-2M,1
7689,Miami,Florida,1116.0,2.0,2.0,200000.0,0-2M,1
7690,Miami,Florida,2135.0,4.0,3.0,659000.0,0-2M,1
7691,Miami,Florida,2086.0,4.0,4.0,890000.0,0-2M,1
7692,Miami,Florida,1830.0,3.0,2.0,1350000.0,0-2M,1
7693,Miami,Florida,850.0,1.0,1.0,125000.0,0-2M,1
7694,Miami,Florida,3191.0,5.0,4.0,1700000.0,0-2M,1
7695,Miami,Florida,2241.0,4.0,3.0,599000.0,0-2M,1
7696,Miami,Florida,721.0,1.0,1.0,200000.0,0-2M,1
7697,Miami,Florida,1950.0,2.0,3.0,419000.0,0-2M,1
7698,Miami,Florida,2078.0,4.0,2.0,849000.0,0-2M,1
7699,Miami,Florida,1330.0,3.0,3.0,471040.0,0-2M,1
7700,Miami,Florida,2050.0,3.0,2.0,550000.0,0-2M,1
7701,Miami,Florida,994.0,3.0,2.0,285000.0,0-2M,1
7702,Miami,Florida,1873.0,3.0,2.0,650000.0,0-2M,1
7703,Miami,Florida,801.0,1.0,1.0,145000.0,0-2M,1
7704,Miami,Florida,660.0,1.0,1.0,110000.0,0-2M,1
7705,Miami,Florida,1309.0,3.0,3.0,495000.0,0-2M,1
7706,Miami,Florida,1971.0,4.0,5.0,849000.0,0-2M,1
7707,Miami,Florida,978.0,2.0,2.0,190000.0,0-2M,1
7708,Miami,Florida,1774.0,3.0,2.0,489999.0,0-2M,1
7709,Miami,Florida,1140.0,2.0,2.0,199000.0,0-2M,1
7710,Miami,Florida,1921.0,4.0,2.0,349999.0,0-2M,1
7711,Miami,Florida,1192.0,2.0,2.0,204000.0,0-2M,1
7712,Miami,Florida,981.0,1.0,2.0,159000.0,0-2M,1
7713,Miami,Florida,1290.0,3.0,2.0,455000.0,0-2M,1
7714,Miami,Florida,2719.0,4.0,3.0,810000.0,0-2M,1
7715,Miami,Florida,1296.0,3.0,2.0,490000.0,0-2M,1
7716,Miami,Florida,1837.0,4.0,4.0,525000.0,0-2M,1
7717,Miami,Florida,1346.0,2.0,3.0,345000.0,0-2M,1
7718,Miami,Florida,1896.0,5.0,3.0,590000.0,0-2M,1
7719,Miami,Florida,4108.0,5.0,6.0,950000.0,0-2M,1
7720,Miami,Florida,980.0,2.0,1.0,365000.0,0-2M,1
7721,Miami,Florida,1560.0,2.0,3.0,425000.0,0-2M,1
7722,Miami,Florida,2571.0,4.0,3.0,859900.0,0-2M,1
7723,Miami,Florida,936.0,2.0,2.0,310000.0,0-2M,1
7724,Miami,Florida,620.0,1.0,1.0,87900.0,0-2M,1
7725,Miami,Florida,3531.0,4.0,3.0,990000.0,0-2M,1
7726,Miami,Florida,1660.0,3.0,3.0,470000.0,0-2M,1
7727,Miami,Florida,2420.0,4.0,3.0,650000.0,0-2M,1
7728,Miami,Florida,1454.0,3.0,2.0,600000.0,0-2M,1
7729,Miami,Florida,1608.0,3.0,3.0,430000.0,0-2M,1
7730,Miami,Florida,2511.0,4.0,3.0,579000.0,0-2M,1
7731,Miami,Florida,1770.0,3.0,3.0,295000.0,0-2M,1
7732,Miami,Florida,2271.0,4.0,2.0,750000.0,0-2M,1
7733,Miami,Florida,2524.0,5.0,5.0,800000.0,0-2M,1
7734,Miami,Florida,1232.0,3.0,3.0,373000.0,0-2M,1
7735,Miami,Florida,3243.0,4.0,4.0,680000.0,0-2M,1
7736,Miami,Florida,1002.0,1.0,2.0,165000.0,0-2M,1
7737,Miami,Florida,2316.0,5.0,3.0,675000.0,0-2M,1
7738,Miami,Florida,1140.0,2.0,2.0,209900.0,0-2M,1
7739,Miami,Florida,1699.0,3.0,3.0,425000.0,0-2M,1
7740,Miami,Florida,1330.0,3.0,2.0,430000.0,0-2M,1
7741,Miami,Florida,1396.0,4.0,3.0,524999.0,0-2M,1
7742,Miami,Florida,4923.0,6.0,7.0,4489000.0,2M-5M,1
7743,Miami,Florida,1317.0,2.0,2.0,230000.0,0-2M,1
7744,Miami,Florida,2413.0,3.0,2.0,775000.0,0-2M,1
7745,Miami,Florida,1294.0,4.0,2.0,260000.0,0-2M,1
7746,Miami,Florida,840.0,2.0,2.0,325000.0,0-2M,1
7747,Miami,Florida,1040.0,3.0,2.0,260000.0,0-2M,1
7748,Miami,Florida,1140.0,2.0,2.0,180000.0,0-2M,1
7749,Miami,Florida,1900.0,3.0,2.0,575000.0,0-2M,1
7750,Miami,Florida,948.0,2.0,2.0,275000.0,0-2M,1
7751,Miami,Florida,840.0,3.0,2.0,350000.0,0-2M,1
7752,Miami,Florida,1351.0,3.0,2.0,495000.0,0-2M,1
7753,Miami,Florida,936.0,2.0,2.0,260000.0,0-2M,1
7754,Miami,Florida,1674.0,2.0,2.0,250000.0,0-2M,1
7755,Miami,Florida,1777.0,3.0,3.0,445000.0,0-2M,1
7756,Miami,Florida,2604.0,4.0,3.0,534900.0,0-2M,1
7757,Miami,Florida,1571.0,3.0,2.0,580000.0,0-2M,1
7758,Miami,Florida,1471.0,3.0,2.0,549900.0,0-2M,1
7759,Miami,Florida,1753.0,3.0,3.0,510000.0,0-2M,1
7760,Miami,Florida,3718.0,5.0,4.0,910000.0,0-2M,1
7761,Miami,Florida,1530.0,3.0,3.0,320000.0,0-2M,1
7762,Miami,Florida,1729.0,3.0,2.0,600000.0,0-2M,1
7763,Miami,Florida,1921.0,3.0,2.0,710000.0,0-2M,1
7764,Miami,Florida,1209.0,3.0,2.0,250000.0,0-2M,1
7765,Miami,Florida,1449.0,3.0,1.0,389000.0,0-2M,1
7766,Miami,Florida,1857.0,4.0,2.0,639000.0,0-2M,1
7767,Miami,Florida,850.0,2.0,1.0,470000.0,0-2M,1
7768,Miami,Florida,1200.0,4.0,2.0,525000.0,0-2M,1
7769,Miami,Florida,1450.0,2.0,2.0,270000.0,0-2M,1
7770,Miami,Florida,1718.0,4.0,3.0,435000.0,0-2M,1
7771,Miami,Florida,1718.0,4.0,3.0,445000.0,0-2M,1
7772,Miami,Florida,980.0,1.0,2.0,239500.0,0-2M,1
7773,Miami,Florida,1596.0,2.0,2.0,325000.0,0-2M,1
7774,Miami,Florida,1580.0,3.0,2.0,525000.0,0-2M,1
7775,Miami,Florida,823.0,2.0,2.0,285000.0,0-2M,1
7776,Miami,Florida,1516.0,3.0,2.0,550000.0,0-2M,1
7777,Miami,Florida,5345.0,7.0,5.0,3200000.0,2M-5M,1
7778,Miami,Florida,4679.0,7.0,6.0,2500000.0,2M-5M,1
7779,Miami,Florida,8498.0,7.0,9.0,6900000.0,5M-10M,1
7780,Miami,Florida,1929.0,4.0,4.0,647000.0,0-2M,1
7781,Miami,Florida,1484.0,3.0,3.0,820000.0,0-2M,1
7782,Miami,Florida,2711.0,8.0,4.0,1200000.0,0-2M,1
7783,Miami,Florida,1666.0,4.0,2.0,759000.0,0-2M,1
7784,Miami,Florida,1122.0,3.0,2.0,180000.0,0-2M,1
7785,Miami,Florida,1565.0,4.0,2.0,349900.0,0-2M,1
7786,Miami,Florida,898.0,3.0,2.0,350000.0,0-2M,1
7787,Miami,Florida,1392.0,3.0,2.0,348000.0,0-2M,1
7788,Miami,Florida,1718.0,4.0,2.0,349900.0,0-2M,1
7789,Miami,Florida,1544.0,4.0,2.0,360000.0,0-2M,1
7790,Miami,Florida,1378.0,3.0,4.0,450000.0,0-2M,1
7791,Miami,Florida,1537.0,4.0,2.0,315000.0,0-2M,1
7792,Miami,Florida,1716.0,4.0,2.0,325000.0,0-2M,1
7793,Miami,Florida,1407.0,4.0,3.0,360000.0,0-2M,1
7794,Miami,Florida,2335.0,6.0,3.0,900000.0,0-2M,1
