,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment
70,Hà Nội,"Thanh Xuân, Hà Nội",60.0,50m² - 100m²,358330000.0,5.0,5.0,21500000000.0,20 tỷ - 40 tỷ
71,Hà Nội,"Ba Đình, Hà Nội",58.0,50m² - 100m²,112070000.0,3.0,3.0,6500000000.0,5 tỷ - 10 tỷ
72,Hồ Chí Minh,"Phú Nhuận, Hồ Chí Minh",46.0,30m² - 50m²,49560000.0,4.0,3.0,2280000000.0,1 tỷ - 5 tỷ
73,Hồ Chí Minh,"Quận 2, Hồ Chí Minh",100.0,50m² - 100m²,185000000.0,4.0,4.0,18500000000.0,10 tỷ - 20 tỷ
74,Hà Nội,"Đống Đa, Hà Nội",52.0,50m² - 100m²,125000000.0,4.0,4.0,6500000000.0,5 tỷ - 10 tỷ
75,Hồ Chí Minh,"Gò Vấp, Hồ Chí Minh",120.0,100m² - 150m²,216670000.0,6.0,6.0,26000000000.0,20 tỷ - 40 tỷ
76,Hồ Chí Minh,"Quận 2, Hồ Chí Minh",95.0,50m² - 100m²,347370000.0,4.0,4.0,33000000000.0,20 tỷ - 40 tỷ
77,Hà Nội,"Long Biên, Hà Nội",62.0,50m² - 100m²,225810000.0,4.0,5.0,14000000000.0,10 tỷ - 20 tỷ
78,Hồ Chí Minh,"Quận 7, Hồ Chí Minh",200.0,150m² - 250m²,205000000.0,5.0,5.0,41000000000.0,40 tỷ - 60 tỷ
79,Hồ Chí Minh,"Quận 9, Hồ Chí Minh",160.0,150m² - 250m²,53120000.0,4.0,4.0,8500000000.0,5 tỷ - 10 tỷ
80,Hà Nội,"Long Biên, Hà Nội",85.0,50m² - 100m²,205880000.0,5.0,4.0,17500000000.0,10 tỷ - 20 tỷ
81,Hà Nội,"Long Biên, Hà Nội",45.0,30m² - 50m²,52220000.0,1.0,1.0,2350000000.0,1 tỷ - 5 tỷ
82,Hà Nội,"Hà Đông, Hà Nội",500.0,350m² - 500m²,269000000.0,6.0,5.0,134500000000.0,100 tỷ - 1000 tỷ
83,Hà Nội,"Đống Đa, Hà Nội",65.0,50m² - 100m²,195380000.0,5.0,3.0,12700000000.0,10 tỷ - 20 tỷ
84,Hồ Chí Minh,"Quận 7, Hồ Chí Minh",60.0,50m² - 100m²,215000000.0,4.0,3.0,12900000000.0,10 tỷ - 20 tỷ
85,Hồ Chí Minh,"Quận 2, Hồ Chí Minh",63.0,50m² - 100m²,103180000.0,3.0,3.0,6500000000.0,5 tỷ - 10 tỷ
86,Hà Nội,"Tây Hồ, Hà Nội",140.0,100m² - 150m²,321430000.0,4.0,3.0,45000000000.0,40 tỷ - 60 tỷ
87,Hà Nội,"Hà Đông, Hà Nội",31.0,30m² - 50m²,90320000.0,4.0,3.0,2800000000.0,1 tỷ - 5 tỷ
88,Hồ Chí Minh,"Bình Thạnh, Hồ Chí Minh",55.0,50m² - 100m²,88180000.0,4.0,5.0,4850000000.0,1 tỷ - 5 tỷ
89,Hồ Chí Minh,"Bình Thạnh, Hồ Chí Minh",45.8,30m² - 50m²,86900000.0,3.0,3.0,3980000000.0,1 tỷ - 5 tỷ
90,Hồ Chí Minh,"Quận 12, Hồ Chí Minh",90.0,50m² - 100m²,84440000.0,4.0,5.0,7600000000.0,5 tỷ - 10 tỷ
91,Hà Nội,"Long Biên, Hà Nội",73.0,50m² - 100m²,201370000.0,1.0,1.0,14700000000.0,10 tỷ - 20 tỷ
92,Hà Nội,"Tây Hồ, Hà Nội",230.0,150m² - 250m²,265000000.0,5.0,6.0,60950000000.0,60 tỷ - 100 tỷ
93,Hà Nội,"Thanh Xuân, Hà Nội",96.0,50m² - 100m²,265620000.0,5.0,4.0,25500000000.0,20 tỷ - 40 tỷ
94,Hồ Chí Minh,"Quận 3, Hồ Chí Minh",32.0,30m² - 50m²,437500000.0,5.0,4.0,14000000000.0,10 tỷ - 20 tỷ
95,Hà Nội,"Hà Đông, Hà Nội",130.0,100m² - 150m²,292310000.0,4.0,5.0,38000000000.0,20 tỷ - 40 tỷ
96,Hồ Chí Minh,"Bình Thạnh, Hồ Chí Minh",39.0,30m² - 50m²,81800000.0,4.0,4.0,3190000000.0,1 tỷ - 5 tỷ
97,Hà Nội,"Chương Mỹ, Hà Nội",48.0,30m² - 50m²,47920000.0,4.0,4.0,2300000000.0,1 tỷ - 5 tỷ
98,Hà Nội,"Nam Từ Liêm, Hà Nội",124.0,100m² - 150m²,150000000.0,1.0,1.0,18600000000.0,10 tỷ - 20 tỷ
99,Hồ Chí Minh,"Thủ Đức, Hồ Chí Minh",105.0,100m² - 150m²,161900000.0,4.0,5.0,17000000000.0,10 tỷ - 20 tỷ
100,Hà Nội,"Thanh Trì, Hà Nội",33.0,30m² - 50m²,112120000.0,3.0,4.0,3700000000.0,1 tỷ - 5 tỷ
101,Hà Nội,"Đống Đa, Hà Nội",48.0,30m² - 50m²,260000000.0,5.0,5.0,12480000000.0,10 tỷ - 20 tỷ
