,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
707,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",265.0,250m² - 350m²,52080000.0,3.0,3.0,13800000000.0,10 tỷ - 20 tỷ,3
708,Đà Nẵng,"Hải Châu, Đà Nẵng",30.0,Dưới 30m²,228330000.0,5.0,5.0,6850000000.0,5 tỷ - 10 tỷ,3
709,Đà Nẵng,"Hải Châu, Đà Nẵng",57.0,50m² - 100m²,95610000.0,4.0,3.0,5450000000.0,5 tỷ - 10 tỷ,3
710,Đà Nẵng,"Thanh Khê, Đà Nẵng",90.0,50m² - 100m²,87780000.0,4.0,3.0,7900000000.0,5 tỷ - 10 tỷ,3
711,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",107.0,100m² - 150m²,67290000.0,9.0,10.0,7200000000.0,5 tỷ - 10 tỷ,3
712,Khánh Hòa,"Nha Trang, Khánh Hòa",100.0,50m² - 100m²,45000000.0,3.0,4.0,4500000000.0,1 tỷ - 5 tỷ,0
713,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",117.5,100m² - 150m²,80850000.0,4.0,2.0,9500000000.0,5 tỷ - 10 tỷ,3
714,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",216.0,150m² - 250m²,78700000.0,20.0,20.0,17000000000.0,10 tỷ - 20 tỷ,3
715,Đà Nẵng,"Liên Chiểu, Đà Nẵng",72.0,50m² - 100m²,59030000.0,4.0,3.0,4250000000.0,1 tỷ - 5 tỷ,3
716,Đà Nẵng,"Sơn Trà, Đà Nẵng",250.0,150m² - 250m²,145000000.0,4.0,5.0,36250000000.0,20 tỷ - 40 tỷ,3
717,Đà Nẵng,"Cẩm Lệ, Đà Nẵng",112.5,100m² - 150m²,64000000.0,4.0,5.0,7200000000.0,5 tỷ - 10 tỷ,3
718,Đà Nẵng,"Sơn Trà, Đà Nẵng",100.0,50m² - 100m²,158000000.0,14.0,15.0,15800000000.0,10 tỷ - 20 tỷ,3
719,Khánh Hòa,"Nha Trang, Khánh Hòa",75.0,50m² - 100m²,84000000.0,4.0,5.0,6300000000.0,5 tỷ - 10 tỷ,0
720,Khánh Hòa,"Nha Trang, Khánh Hòa",72.3,50m² - 100m²,359610000.0,6.0,5.0,26000000000.0,20 tỷ - 40 tỷ,0
721,Đà Nẵng,"Sơn Trà, Đà Nẵng",88.0,50m² - 100m²,144320000.0,3.0,3.0,12700000000.0,10 tỷ - 20 tỷ,3
722,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",121.0,100m² - 150m²,157020000.0,2.0,2.0,19000000000.0,10 tỷ - 20 tỷ,3
723,Đà Nẵng,"Hải Châu, Đà Nẵng",145.0,100m² - 150m²,189590000.0,17.0,18.0,27490000000.0,20 tỷ - 40 tỷ,3
724,Khánh Hòa,"Nha Trang, Khánh Hòa",90.0,50m² - 100m²,77780000.0,3.0,3.0,7000000000.0,5 tỷ - 10 tỷ,0
725,Khánh Hòa,"Nha Trang, Khánh Hòa",108.8,100m² - 150m²,87320000.0,3.0,2.0,9500000000.0,5 tỷ - 10 tỷ,0
726,Đà Nẵng,"Liên Chiểu, Đà Nẵng",90.0,50m² - 100m²,72220000.0,4.0,4.0,6500000000.0,5 tỷ - 10 tỷ,3
727,Đà Nẵng,"Liên Chiểu, Đà Nẵng",75.0,50m² - 100m²,43330000.0,2.0,2.0,3250000000.0,1 tỷ - 5 tỷ,3
728,Lâm Đồng,"Đà Lạt, Lâm Đồng",98.75,50m² - 100m²,121520000.0,10.0,10.0,12000000000.0,10 tỷ - 20 tỷ,2
729,Khánh Hòa,"Nha Trang, Khánh Hòa",100.0,50m² - 100m²,56000000.0,3.0,4.0,5600000000.0,5 tỷ - 10 tỷ,0
730,Khánh Hòa,"Nha Trang, Khánh Hòa",330.0,250m² - 350m²,84850000.0,5.0,4.0,28000000000.0,20 tỷ - 40 tỷ,0
731,Khánh Hòa,"Nha Trang, Khánh Hòa",80.0,50m² - 100m²,96250000.0,4.0,4.0,7700000000.0,5 tỷ - 10 tỷ,0
732,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",125.0,100m² - 150m²,65599999.99999999,7.0,8.0,8199999999.999999,5 tỷ - 10 tỷ,3
733,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",122.0,100m² - 150m²,344260000.0,28.0,30.0,42000000000.0,40 tỷ - 60 tỷ,3
734,Khánh Hòa,"Nha Trang, Khánh Hòa",108.0,100m² - 150m²,87960000.0,3.0,3.0,9500000000.0,5 tỷ - 10 tỷ,0
735,Lâm Đồng,"Đà Lạt, Lâm Đồng",55.0,50m² - 100m²,62730000.0,2.0,2.0,3450000000.0,1 tỷ - 5 tỷ,2
736,Đà Nẵng,"Hải Châu, Đà Nẵng",54.0,50m² - 100m²,150000000.0,2.0,2.0,8100000000.0,5 tỷ - 10 tỷ,3
737,Đà Nẵng,"Cẩm Lệ, Đà Nẵng",100.0,50m² - 100m²,39900000.0,3.0,3.0,3990000000.0,1 tỷ - 5 tỷ,3
738,Đà Nẵng,"Cẩm Lệ, Đà Nẵng",100.0,50m² - 100m²,41900000.0,3.0,3.0,4190000000.0000005,1 tỷ - 5 tỷ,3
739,Đà Nẵng,"Ngũ Hành Sơn, Đà Nẵng",100.0,50m² - 100m²,43500000.0,3.0,2.0,4350000000.0,1 tỷ - 5 tỷ,3
