,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
442,Bình Thuận,"Phan Thiết, Bình Thuận",160.0,150m² - 250m²,28750000.0,4.0,4.0,4600000000.0,1 tỷ - 5 tỷ,0
443,Bắc Ninh,"Bắc Ninh, Bắc Ninh",189.0,150m² - 250m²,149210000.0,6.0,6.0,28200000000.0,20 tỷ - 40 tỷ,1
444,Bình Thuận,"Phan Thiết, Bình Thuận",160.0,150m² - 250m²,28750000.0,4.0,4.0,4600000000.0,1 tỷ - 5 tỷ,0
445,Nghệ An,"Vinh, Nghệ An",158.0,150m² - 250m²,58860000.0,6.0,6.0,9300000000.0,5 tỷ - 10 tỷ,4
446,Bình Thuận,"Phan Thiết, Bình Thuận",187.5,150m² - 250m²,34670000.0,3.0,3.0,6500000000.0,5 tỷ - 10 tỷ,0
447,Bình Thuận,"Phan Thiết, Bình Thuận",160.0,150m² - 250m²,29060000.0,3.0,3.0,4650000000.0,1 tỷ - 5 tỷ,0
448,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",118.37,100m² - 150m²,66739999.99999999,3.0,3.0,7900000000.0,5 tỷ - 10 tỷ,7
449,Thanh Hóa,"Hoằng Hóa, Thanh Hóa",300.0,250m² - 350m²,66670000.0,37.0,30.0,20000000000.0,10 tỷ - 20 tỷ,6
450,Kiên Giang,"Rạch Giá, Kiên Giang",80.0,50m² - 100m²,39750000.0,3.0,2.0,3180000000.0,1 tỷ - 5 tỷ,3
451,Thanh Hóa,"Thanh Hóa, Thanh Hóa",450.0,350m² - 500m²,77780000.0,5.0,5.0,35000000000.0,20 tỷ - 40 tỷ,6
452,Đắk Lắk,"Buôn Ma Thuột, Đắk Lắk",150.0,100m² - 150m²,42330000.0,1.0,2.0,6350000000.0,5 tỷ - 10 tỷ,7
453,Bắc Ninh,"Yên Phong, Bắc Ninh",105.0,100m² - 150m²,62380000.0,4.0,3.0,6550000000.0,5 tỷ - 10 tỷ,1
454,Bắc Ninh,"Thuận Thành, Bắc Ninh",126.0,100m² - 150m²,71430000.0,3.0,4.0,9000000000.0,5 tỷ - 10 tỷ,1
455,Bắc Ninh,"Bắc Ninh, Bắc Ninh",283.0,250m² - 350m²,106010000.0,6.0,8.0,30000000000.0,20 tỷ - 40 tỷ,1
456,Bắc Ninh,"Từ Sơn, Bắc Ninh",90.0,50m² - 100m²,97780000.0,4.0,5.0,8800000000.0,5 tỷ - 10 tỷ,1
457,Bắc Ninh,"Từ Sơn, Bắc Ninh",90.0,50m² - 100m²,97780000.0,4.0,5.0,8800000000.0,5 tỷ - 10 tỷ,1
458,Bắc Ninh,"Bắc Ninh, Bắc Ninh",75.0,50m² - 100m²,84000000.0,4.0,3.0,6300000000.0,5 tỷ - 10 tỷ,1
