,Province,Location,Area,AreaSegment,Price/m2,BedRoom,Toilet,Price,PriceSegment,Province_encoded
78,Đồng Nai,"Biên Hòa, Đồng Nai",111.0,100m² - 150m²,56040000.0,3.0,3.0,6220000000.0,5 tỷ - 10 tỷ,2
79,Đồng Nai,"Biên Hòa, Đồng Nai",123.0,100m² - 150m²,47970000.0,4.0,4.0,5900000000.0,5 tỷ - 10 tỷ,2
80,Bình Dương,"Dĩ An, Bình Dương",91.0,50m² - 100m²,72530000.0,14.0,15.0,6600000000.0,5 tỷ - 10 tỷ,0
81,Bình Dương,"Dĩ An, Bình Dương",87.5,50m² - 100m²,114290000.0,4.0,4.0,10000000000.0,5 tỷ - 10 tỷ,0
82,Long An,"Tân An, Long An",100.0,50m² - 100m²,38000000.0,4.0,4.0,3800000000.0,1 tỷ - 5 tỷ,1
83,Long An,"Tân An, Long An",100.0,50m² - 100m²,35400000.0,4.0,4.0,3540000000.0,1 tỷ - 5 tỷ,1
84,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,35560000.0,4.0,3.0,3200000000.0,1 tỷ - 5 tỷ,1
85,Bình Dương,"Thủ Dầu Một, Bình Dương",100.0,50m² - 100m²,69000000.0,4.0,4.0,6900000000.0,5 tỷ - 10 tỷ,0
86,Đồng Nai,"Trảng Bom, Đồng Nai",417.0,350m² - 500m²,15830000.0,4.0,4.0,6600000000.0,5 tỷ - 10 tỷ,2
87,Đồng Nai,"Nhơn Trạch, Đồng Nai",396.0,350m² - 500m²,148990000.0,4.0,5.0,59000000000.0,40 tỷ - 60 tỷ,2
88,Đồng Nai,"Biên Hòa, Đồng Nai",117.0,100m² - 150m²,52140000.0,4.0,4.0,6100000000.0,5 tỷ - 10 tỷ,2
89,Đồng Nai,"Biên Hòa, Đồng Nai",117.0,100m² - 150m²,52140000.0,4.0,4.0,6100000000.0,5 tỷ - 10 tỷ,2
90,Đồng Nai,"Nhơn Trạch, Đồng Nai",187.5,150m² - 250m²,72000000.0,4.0,3.0,13500000000.0,10 tỷ - 20 tỷ,2
91,Đồng Nai,"Biên Hòa, Đồng Nai",97.0,50m² - 100m²,49480000.0,4.0,3.0,4800000000.0,1 tỷ - 5 tỷ,2
92,Bình Dương,"Dĩ An, Bình Dương",66.5,50m² - 100m²,48870000.0,3.0,2.0,3250000000.0,1 tỷ - 5 tỷ,0
93,Long An,"Đức Hòa, Long An",87.5,50m² - 100m²,26860000.0,3.0,4.0,2350000000.0,1 tỷ - 5 tỷ,1
94,Bình Dương,"Thuận An, Bình Dương",66.0,50m² - 100m²,53030000.0,3.0,2.0,3500000000.0,1 tỷ - 5 tỷ,0
95,Bình Dương,"Thuận An, Bình Dương",66.0,50m² - 100m²,53030000.0,3.0,2.0,3500000000.0,1 tỷ - 5 tỷ,0
96,Long An,"Cần Giuộc, Long An",135.0,100m² - 150m²,18520000.0,2.0,2.0,2500000000.0,1 tỷ - 5 tỷ,1
97,Đồng Nai,"Biên Hòa, Đồng Nai",35.0,30m² - 50m²,35710000.0,2.0,1.0,1250000000.0,1 tỷ - 5 tỷ,2
98,Đồng Nai,"Biên Hòa, Đồng Nai",35.0,30m² - 50m²,35710000.0,2.0,1.0,1250000000.0,1 tỷ - 5 tỷ,2
99,Bình Dương,"Bến Cát, Bình Dương",268.0,250m² - 350m²,7280000.0,1.0,1.0,1950000000.0,1 tỷ - 5 tỷ,0
100,Bình Dương,"Dĩ An, Bình Dương",67.0,50m² - 100m²,32840000.000000004,2.0,1.0,2200000000.0,1 tỷ - 5 tỷ,0
101,Đồng Nai,"Nhơn Trạch, Đồng Nai",107.1,100m² - 150m²,39220000.0,4.0,4.0,4200000000.0,1 tỷ - 5 tỷ,2
102,Long An,"Tân An, Long An",100.0,50m² - 100m²,34000000.0,4.0,4.0,3400000000.0,1 tỷ - 5 tỷ,1
103,Đồng Nai,"Biên Hòa, Đồng Nai",60.2,50m² - 100m²,45680000.0,2.0,2.0,2750000000.0,1 tỷ - 5 tỷ,2
104,Bình Dương,"Thủ Dầu Một, Bình Dương",100.0,50m² - 100m²,59000000.0,3.0,4.0,5900000000.0,5 tỷ - 10 tỷ,0
105,Bình Dương,"Thuận An, Bình Dương",70.0,50m² - 100m²,25710000.0,3.0,2.0,1800000000.0,1 tỷ - 5 tỷ,0
106,Bình Dương,"Thủ Dầu Một, Bình Dương",100.0,50m² - 100m²,59000000.0,4.0,4.0,5900000000.0,5 tỷ - 10 tỷ,0
107,Bình Dương,"Dĩ An, Bình Dương",81.0,50m² - 100m²,86420000.0,4.0,3.0,7000000000.0,5 tỷ - 10 tỷ,0
108,Bình Dương,"Dĩ An, Bình Dương",81.0,50m² - 100m²,86420000.0,4.0,3.0,7000000000.0,5 tỷ - 10 tỷ,0
109,Bình Dương,"Thuận An, Bình Dương",54.0,50m² - 100m²,51480000.0,3.0,3.0,2780000000.0,1 tỷ - 5 tỷ,0
110,Đồng Nai,"Nhơn Trạch, Đồng Nai",189.0,150m² - 250m²,33330000.0,3.0,4.0,6300000000.0,5 tỷ - 10 tỷ,2
111,Bình Dương,"Thủ Dầu Một, Bình Dương",112.5,100m² - 150m²,50670000.0,1.0,2.0,5700000000.0,5 tỷ - 10 tỷ,0
112,Đồng Nai,"Biên Hòa, Đồng Nai",68.0,50m² - 100m²,41180000.0,3.0,2.0,2800000000.0,1 tỷ - 5 tỷ,2
113,Đồng Nai,"Biên Hòa, Đồng Nai",87.0,50m² - 100m²,21260000.0,3.0,2.0,1850000000.0,1 tỷ - 5 tỷ,2
114,Bình Dương,"Thuận An, Bình Dương",60.0,50m² - 100m²,58330000.0,4.0,5.0,3500000000.0,1 tỷ - 5 tỷ,0
115,Đồng Nai,"Biên Hòa, Đồng Nai",160.0,150m² - 250m²,40620000.0,4.0,3.0,6500000000.0,5 tỷ - 10 tỷ,2
116,Bình Dương,"Thủ Dầu Một, Bình Dương",163.0,150m² - 250m²,5830000.0,3.0,2.0,950000000.0,500 triệu - 1 tỷ,0
117,Đồng Nai,"Biên Hòa, Đồng Nai",30.0,Dưới 30m²,28330000.0,1.0,1.0,850000000.0,500 triệu - 1 tỷ,2
118,Bình Dương,"Thuận An, Bình Dương",60.0,50m² - 100m²,50000000.0,3.0,3.0,3000000000.0,1 tỷ - 5 tỷ,0
119,Bình Dương,"Thuận An, Bình Dương",60.0,50m² - 100m²,50000000.0,3.0,3.0,3000000000.0,1 tỷ - 5 tỷ,0
120,Bình Dương,"Tân Uyên, Bình Dương",65.0,50m² - 100m²,17690000.0,3.0,3.0,1150000000.0,1 tỷ - 5 tỷ,0
121,Đồng Nai,"Biên Hòa, Đồng Nai",84.0,50m² - 100m²,107140000.0,4.0,3.0,9000000000.0,5 tỷ - 10 tỷ,2
122,Đồng Nai,"Biên Hòa, Đồng Nai",92.0,50m² - 100m²,25540000.0,3.0,2.0,2350000000.0,1 tỷ - 5 tỷ,2
123,Đồng Nai,"Biên Hòa, Đồng Nai",200.0,150m² - 250m²,17500000.0,2.0,1.0,3500000000.0,1 tỷ - 5 tỷ,2
124,Đồng Nai,"Biên Hòa, Đồng Nai",92.0,50m² - 100m²,25540000.0,3.0,2.0,2350000000.0,1 tỷ - 5 tỷ,2
125,Đồng Nai,"Biên Hòa, Đồng Nai",200.0,150m² - 250m²,17500000.0,2.0,1.0,3500000000.0,1 tỷ - 5 tỷ,2
126,Bình Dương,"Tân Uyên, Bình Dương",61.0,50m² - 100m²,36070000.0,2.0,2.0,2200000000.0,1 tỷ - 5 tỷ,0
127,Đồng Nai,"Biên Hòa, Đồng Nai",90.0,50m² - 100m²,29440000.0,3.0,2.0,2650000000.0,1 tỷ - 5 tỷ,2
128,Đồng Nai,"Biên Hòa, Đồng Nai",90.0,50m² - 100m²,29440000.0,3.0,2.0,2650000000.0,1 tỷ - 5 tỷ,2
129,Đồng Nai,"Nhơn Trạch, Đồng Nai",332.0,250m² - 350m²,31930000.0,3.0,3.0,10600000000.0,10 tỷ - 20 tỷ,2
130,Đồng Nai,"Nhơn Trạch, Đồng Nai",107.1,100m² - 150m²,36420000.0,3.0,3.0,3900000000.0,1 tỷ - 5 tỷ,2
131,Bình Dương,"Thuận An, Bình Dương",68.0,50m² - 100m²,29630000.0,3.0,3.0,2020000000.0,1 tỷ - 5 tỷ,0
132,Bình Dương,"Thuận An, Bình Dương",68.0,50m² - 100m²,30590000.0,4.0,3.0,2080000000.0,1 tỷ - 5 tỷ,0
133,Đồng Nai,"Biên Hòa, Đồng Nai",63.0,50m² - 100m²,30160000.0,2.0,2.0,1900000000.0,1 tỷ - 5 tỷ,2
134,Đồng Nai,"Biên Hòa, Đồng Nai",90.0,50m² - 100m²,70000000.0,3.0,3.0,6300000000.0,5 tỷ - 10 tỷ,2
135,Long An,"Bến Lức, Long An",300.0,250m² - 350m²,35000000.0,5.0,5.0,10500000000.0,10 tỷ - 20 tỷ,1
136,Long An,"Bến Lức, Long An",150.0,100m² - 150m²,39330000.0,5.0,4.0,5900000000.0,5 tỷ - 10 tỷ,1
137,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,35000000.0,4.0,3.0,3150000000.0,1 tỷ - 5 tỷ,1
138,Long An,"Bến Lức, Long An",150.0,100m² - 150m²,42670000.0,4.0,3.0,6400000000.0,5 tỷ - 10 tỷ,1
139,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,36670000.0,5.0,3.0,3300000000.0,1 tỷ - 5 tỷ,1
140,Long An,"Bến Lức, Long An",225.0,150m² - 250m²,36890000.0,4.0,3.0,8300000000.000001,5 tỷ - 10 tỷ,1
141,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,41110000.0,5.0,4.0,3700000000.0,1 tỷ - 5 tỷ,1
142,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,41110000.0,5.0,4.0,3700000000.0,1 tỷ - 5 tỷ,1
143,Đồng Nai,"Nhơn Trạch, Đồng Nai",300.0,250m² - 350m²,53330000.0,3.0,3.0,16000000000.0,10 tỷ - 20 tỷ,2
144,Đồng Nai,"Nhơn Trạch, Đồng Nai",630.0,Trên 500m²,79360000.0,5.0,6.0,50000000000.0,40 tỷ - 60 tỷ,2
145,Đồng Nai,"Nhơn Trạch, Đồng Nai",630.0,Trên 500m²,79360000.0,5.0,6.0,50000000000.0,40 tỷ - 60 tỷ,2
146,Đồng Nai,"Nhơn Trạch, Đồng Nai",336.0,250m² - 350m²,44640000.0,6.0,6.0,15000000000.0,10 tỷ - 20 tỷ,2
147,Đồng Nai,"Nhơn Trạch, Đồng Nai",336.0,250m² - 350m²,74400000.0,4.0,4.0,25000000000.0,20 tỷ - 40 tỷ,2
148,Đồng Nai,"Nhơn Trạch, Đồng Nai",336.0,250m² - 350m²,59520000.0,4.0,4.0,20000000000.0,10 tỷ - 20 tỷ,2
149,Đồng Nai,"Nhơn Trạch, Đồng Nai",200.0,150m² - 250m²,64000000.0,3.0,4.0,12800000000.0,10 tỷ - 20 tỷ,2
150,Đồng Nai,"Nhơn Trạch, Đồng Nai",340.0,250m² - 350m²,61760000.0,3.0,4.0,21000000000.0,20 tỷ - 40 tỷ,2
151,Đồng Nai,"Nhơn Trạch, Đồng Nai",340.0,250m² - 350m²,61760000.0,3.0,4.0,21000000000.0,20 tỷ - 40 tỷ,2
152,Đồng Nai,"Nhơn Trạch, Đồng Nai",160.0,150m² - 250m²,63750000.0,3.0,4.0,10200000000.0,10 tỷ - 20 tỷ,2
153,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,63330000.0,2.0,3.0,5700000000.0,5 tỷ - 10 tỷ,1
154,Đồng Nai,"Nhơn Trạch, Đồng Nai",160.0,150m² - 250m²,65620000.00000001,3.0,4.0,10500000000.0,10 tỷ - 20 tỷ,2
155,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,52030000.0,4.0,3.0,4680000000.0,1 tỷ - 5 tỷ,1
156,Đồng Nai,"Nhơn Trạch, Đồng Nai",320.0,250m² - 350m²,53120000.0,4.0,4.0,17000000000.0,10 tỷ - 20 tỷ,2
157,Long An,"Bến Lức, Long An",90.0,50m² - 100m²,52030000.0,4.0,3.0,4680000000.0,1 tỷ - 5 tỷ,1
158,Đồng Nai,"Nhơn Trạch, Đồng Nai",320.0,250m² - 350m²,53120000.0,4.0,4.0,17000000000.0,10 tỷ - 20 tỷ,2
159,Đồng Nai,"Nhơn Trạch, Đồng Nai",540.0,Trên 500m²,83330000.0,5.0,6.0,45000000000.0,40 tỷ - 60 tỷ,2
160,Đồng Nai,"Nhơn Trạch, Đồng Nai",336.0,250m² - 350m²,72920000.0,5.0,4.0,24500000000.0,20 tỷ - 40 tỷ,2
161,Đồng Nai,"Nhơn Trạch, Đồng Nai",126.0,100m² - 150m²,61900000.0,3.0,4.0,7800000000.0,5 tỷ - 10 tỷ,2
162,Đồng Nai,"Nhơn Trạch, Đồng Nai",210.0,150m² - 250m²,71430000.0,3.0,3.0,15000000000.0,10 tỷ - 20 tỷ,2
163,Đồng Nai,"Nhơn Trạch, Đồng Nai",336.0,250m² - 350m²,61010000.0,4.0,4.0,20500000000.0,20 tỷ - 40 tỷ,2
164,Đồng Nai,"Nhơn Trạch, Đồng Nai",336.0,250m² - 350m²,61010000.0,4.0,4.0,20500000000.0,20 tỷ - 40 tỷ,2
165,Long An,"Cần Giuộc, Long An",30.0,Dưới 30m²,25000000.0,2.0,2.0,750000000.0,500 triệu - 1 tỷ,1
